league_id,league_name,match_id,team,opponent,side,result,win,pos1_player,pos1_hero,pos1_lh_5m,pos1_networth_10m,enemy_pos1_player,enemy_pos1_hero,enemy_pos1_networth_10m,pos1_vs_enemy_pos1_diff_10m,enemy_pos3_player,enemy_pos3_hero,enemy_pos3_networth_10m,pos1_vs_enemy_pos3_diff_10m,team_networth_10m,enemy_team_networth_10m,team_networth_diff_10m,pos1_kda_10m,pos1_role_source,enemy_pos1_role_source,enemy_pos3_role_source
19696,DreamLeague Season 29,8809159511,VG,TSpirit,Radiant,负,0,pUx,kez,20,4149,兜圈。,alchemist,4475,-326,pos3jungler,primal_beast,4020,129,17009,16236,773,1/0/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809159511,TSpirit,VG,Dire,胜,1,兜圈。,alchemist,23,4475,pUx,kez,4149,326,`#t.,bristleback,4642,-167,16236,17009,-773,1/1/2,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809166456,Aurora,Liquid,Radiant,胜,1,`!,tiny,28,4594,uǍ,nevermore,5127,-533,50centaur,pangolier,3394,1200,15398,16092,-694,1/0/2,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809166456,Liquid,Aurora,Dire,负,0,uǍ,nevermore,32,5127,`!,tiny,4594,533,Щa,magnataur,3624,1503,16092,15398,694,0/0/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809158835,VP,FLCN,Radiant,胜,1,nokia,lone_druid,23,4438,,alchemist,4946,-508,,dawnbreaker,3492,946,16070,16882,-812,0/1/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809158835,FLCN,VP,Dire,负,0,,alchemist,23,4946,nokia,lone_druid,4438,508,saberlight,axe,4026,920,16882,16070,812,1/1/1,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809158915,GL,EX-ROIC,Radiant,负,0,鬼,tiny,22,3894,.tv/yumadota2,kez,4472,-578,GAMBOT-PARIS,shredder,3807,87,14278,14708,-430,0/0/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809158915,EX-ROIC,GL,Dire,胜,1,.tv/yumadota2,kez,23,4472,鬼,tiny,3894,578,помойка,slardar,3373,1099,14708,14278,430,1/0/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809227928,Liquid,Aurora,Radiant,胜,1,`,luna,24,4778,зݵ,windrunner,4549,229,Ǎ,largo,3908,870,17965,15528,2437,1/1/1,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809227928,Aurora,Liquid,Dire,负,0,зݵ,windrunner,27,4549,`,luna,4778,-229,`^8,slardar,4200,349,15528,17965,-2437,0/0/1,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809246462,EX-HERO,GL,Radiant,胜,1,.tv/yumadota2,alchemist,21,5633,鬼,chaos_knight,4134,1499,помойка,lycan,4379,1254,17546,16110,1436,3/0/0,league_roster,league_roster,league_roster
